"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
"Moussa Seck","TEX",24,18,63,-2.41,64.52,15.02,5.46,-48.52,4,-16.7
"Mustafa Shakur","RGV",26,23,836,2.63,53.05,3.55,3.42,-50.56,3,6.6
"Nate Linhart","ERI",24,47,1567,0.61,53.15,3.65,6.23,-47.75,3.4,8
"Nick Fazekas","RNO",26,12,309,1.68,53.11,3.61,3.66,-50.32,2.8,8
"Nik Raivio","NMX",25,21,382,-2.36,47.44,-2.06,3.43,-50.55,2,-1.9
"Nkem Ojougboh","UTA",23,43,704,-0.73,50,0.5,3.16,-50.82,4.9,-3.3
"Obi Muonelo","FWN",23,19,225,-4.69,40.22,-9.28,5.02,-48.96,0.8,-12.3
"Oliver Lafayette","FWN",27,21,705,0.26,43.37,-6.13,3.31,-50.68,3,-0.7
"Orien Greene","UTA",29,36,1259,1.01,49.73,0.24,3.43,-50.55,3.5,5.5
"Othyus Jeffers","IWA",25,38,1452,2.12,49.73,0.24,2.87,-51.11,2.7,6.3
"Pape Sy","UTA",23,23,508,-5.34,43.36,-6.14,2.16,-51.83,0.8,-0.4
"Patrick Ewing","SXF",27,49,1728,2.63,47.59,-1.9,3.11,-50.87,3.6,-1
"Patrick Mutombo","BAK",31,4,96,-2.25,63.91,14.42,13.69,-40.29,0.5,-6.8
"Patrick O'Bryant","RNO",25,31,678,1.29,51.04,1.54,5.01,-48.97,6,4.1
"Patrick Patterson","RGV",22,9,315,5.03,56.21,6.72,3.2,-50.78,4.4,-1.1
"Patrick Sullivan","RGV",22,50,1052,-0.46,60.53,11.03,4.59,-49.39,3.3,3.5
"Paul Harris","MNE",24,22,541,0.35,51.27,1.78,3.18,-50.8,3.4,-2.6
"Perry Stevenson","TUL",24,2,32,-2.55,51.61,2.12,3.2,-50.78,1.6,-4.7
"Pierce Caldwell","TEX",23,8,52,-1.89,40.23,-9.26,3.59,-50.39,2.6,4.3
"Rashad McCants","TEX",26,10,205,3.22,63.1,13.6,4.95,-49.03,1.6,7.7
"Raymond Sykes","SXF",24,49,1566,-2.4,51.27,1.77,3.19,-50.79,3.6,-9.9
"Rece Hampton","TEX",30,19,366,-1.76,55.88,6.38,22.37,-31.61,3.2,-3.3
"Reece Gaines","TEX",30,4,44,-2.84,33.85,-15.65,2.08,-51.9,1.1,-32.6
"Reggie Holmes","ERI",23,2,9,-1.69,150,100.5,1.69,-52.29,0,-33.3
"Renaldo Major","DAK",29,49,1718,1.74,51.32,1.83,2.88,-51.1,2.9,0.9
"Richard Roby","RGV",25,50,1391,-0.46,52.38,2.88,4.24,-49.74,3.3,4.3
"Robert Diggs","DAK",24,9,107,-3.52,36.64,-12.86,2.37,-51.61,3,-23.6
"Robert Vaden","TUL",26,45,1261,-2.36,50.3,0.8,7.27,-46.71,2.2,5
"Roderick Wilmont","FWN",27,47,1509,-0.8,45.57,-3.92,4.19,-49.79,2.7,-1.4
"Ron Howard","FWN",28,8,225,-0.4,51.96,2.46,3.83,-50.15,1.8,9.1
"Ronald Allen","TEX",26,13,125,-2.08,50.93,1.44,6.73,-47.25,2.4,3.2
"Ronald Dupree","UTA",30,33,1078,-1.73,47.44,-2.06,3.33,-50.65,2.1,3.8
"Ryan Reid","TUL",24,48,1076,-1.06,50.38,0.88,2.87,-51.11,2.6,3.4
"Ryan Thompson","UTA",23,42,1028,-0.28,53.49,3.99,4.59,-49.39,2.1,3.7
